disease_id,disease_name,cell_id,cell_name,tissue_id,tissue_name,drug_id,drug_name,mir_id,mir_name,pub_id,pmid,detail
12,"breast cancer",1,MCF7,15,breast,72,mitoxantrone,41,miR-181a,92,23780685,"MiR-181a was found to be the most significantly down-regulated miRNA in MCF-7/MX cells"
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,91,miR-200c,100,23546450,"miRNA-200c inhibited Akt signaling through its effects on E-cadherin and PTEN, resulting in the inhibition of ADR resistance in breast cancer cells."
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,106,miR-375,108,22508479,"cancer-related deaths occur because of resistanceto standard therapies and metastasis, re-expression of miR-375 or targeting MTDH might serve as potential therapeutic approaches for the treatment of TamR breast cancer."
12,"breast cancer",1,MCF7,15,breast,200,multidrug,72,miR-137,111,23178914,"miR-137 was involved in MDR in cancerthrough modulation of P-gp by targeting YB-1"
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,41,miR-181a,118,24335172,"The down-regulation of miR-181a decreased adriamycin-induced apoptosis in MCF-7 cells."
12,"breast cancer",1,MCF7,15,breast,9,Fluorouracil,91,miR-200c,125,24039897,"a cross-talk between Bmi1 and miR-200c mediated by p53, and Bmi1 interference would improve chemotherapy efficiency in breast cancer"
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,82,miR-146a,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,17,miR-27a,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,77,miR-145,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,11,miR-21,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,92,miR-155,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,4,miR-15a,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,176,miR-125b,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,213,let-7s,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,56,miR-221,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,57,miR-222,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,82,miR-146a,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,17,miR-27a,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,77,miR-145,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,11,miR-21,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,92,miR-155,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,4,miR-15a,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,176,miR-125b,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,213,let-7s,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,56,miR-221,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,57,miR-222,131,23270413,"We identified un-described network clusters that contribute to antiestrogen resistance consisting of miR-146a, -27a, -145, -21, -155, -15a, -125b, and let-7s, in addition to the previously described miR-221/222."
12,"breast cancer",1,MCF7,15,breast,31,epirubicin,91,miR-200c,134,22101791,"Up-regulation of miR-200c with transfection of miR-200c mimics in breast cancer cells could enhance the chemosensitivity to epirubicin and reduce expression of multidrug resistance 1 mRNA and P-glycoprotein."
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,91,miR-200c,135,22101791,"miR-200c expression was observed to be down-regulated over 800-fold in human breast cancer cells resistant to doxorubicin MCF-7/ADR as compared to the parental MCF-7 cells."
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,40,miR-34a,142,23085450,"Ectopic overexpression of miR-34a could sensitize MCF-7 breast cancer cells to ADR."
12,"breast cancer",1,MCF7,15,breast,7,docetaxel,40,miR-34a,184,21399894,"miRNA-34a is associated with docetaxel resistance in human breast cancer cells."
12,"breast cancer",1,MCF7,15,breast,10,etoposide,111,miR-326,189,23028896,"miRNA was down-regulated in the etoposide resistant cells when compared to the sensitive cells"
12,"breast cancer",1,MCF7,15,breast,200,multidrug,215,miR-19,197,21853360,"MiR-19 was overexpressed in all three MDR cell lines compared to their parental cell line, MCF-7."
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,216,miR-128,200,21953503,"miR-128 sensitizes BT-ICs to the proapoptotic and DNA-damaging effects of doxorubicin, indicating therapeutic potential."
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,135,miR-505,201,22051041,"Akt3, correlate inversely with miR-505, modulates drug sensitivity in MCF7-ADR."
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,11,miR-21,222,21820606,"Dysregulation of miR-21 plays critical roles in the ADR resistance of breast cancer, at least in part via targeting PTEN."
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,57,miR-222,228,21057537,"Ectopic upregulation of miR-221/222 in estrogen receptor-"
12,"breast cancer",1,MCF7,15,breast,35,fulvestrant,56,miR-221,228,21057537,"Ectopic upregulation of miR-221/222 in estrogen receptor-"
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,110,miR-342,237,21172025,"Downregulation of miR-342 is associated with tamoxifen resistant breast tumors."
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,4,miR-15a,241,20876285,"Reintroduction of miR-15a/16 reduced tamoxifen-induced BCL-2 expression and sensitized MCF-7/HER2"
12,"breast cancer",1,MCF7,15,breast,33,Tamoxifen,6,miR-16,241,20876285,"Reintroduction of miR-15a/16 reduced tamoxifen-induced BCL-2 expression and sensitized MCF-7/HER2"
12,"breast cancer",1,MCF7,15,breast,63,letrozole,69,miR-128a,245,20054641,"Inhibition of endogenous miR-128a resulted in resensitization of the letrozole-resistant lines to TGF"
12,"breast cancer",1,MCF7,15,breast,2,cisplatin,82,miR-146a,248,20099276,"We identified a total of 103 miRNAs that were overexpressed or underexpressed (46 upregulated and 57 downregulated) in MCF-7 cells resistant to cisplatin."
